,0,3,1,2,5,4,6,7,8,9
73,Ech1,Limd2,Dbi,Ndufa13,Nipbl,Rps11,Cd180,Ypel3,Jun,Pla2g7
74,Cox5a,Lef1,Cenpf,Laptm5,Nedd9,Rpl41,Pkib,AY036118,Klf2,Mapkapk2
75,Ubl5,Rps12,Hmmr,Gimap5,Fyn,Rpl13a,Apobec3,Ube2c,Rps25,Rrbp1
76,Ctsw,Rps25,Alyref,Rpl22,Fyb,Sell,Snx2,Sh3glb1,Igfbp4,Skap2
77,Ly6c2,Jun,CAAA01147332.1,Ndfip1,Nsd3,Rpl4,Bcl11a,Tspo2,Tcf7,Ms4a6d
78,B2m,Gas5,Ly6a,Ltb,Arid1b,Gas5,Tnfrsf13b,Cd36,Rps12,Fcgr3
79,Cd52,Rpl29,Cox5a,Tnfsf8,Aak1,Rpl27,Tmem243,Specc1,Gas5,Ptprj
80,Cdc42,Ppp1r15a,Hint1,Cox6c,Kansl1,Rps25,Ighv1-81,Tmem256,Nsa2,Msrb1
81,Cfl1,Rps15,Lig1,Smap1,Huwe1,Tmsb10,Vpreb3,Fam210b,Sell,Irf5
82,Ppp1ca,Txnip,Pkm,Vasp,Ccnd3,Npm1,Spib,Pnpo,Dapl1,Bst1
83,Lcp1,Npm1,Uhrf1,Myl6,Stk4,Klk8,Fchsd2,Ghitm,Rabac1,Ccl6
84,Arpc5,Zfp36,Ncapd2,Sept1,Arhgef18,Rpl22l1,Snn,Bcl2l1,Rpl29,Ehd1
85,Clic1,Rpl31,Kif15,Xist,Lnpep,Rpl23a,Gm31243,Camk1d,Rps15,Lrmda
86,P2rx7,Rpl28,Fbxo5,Arpc4,Dyrk1a,Acp5,Lrrk2,Riok3,Rgs10,Efhd2
87,Txndc17,Nsa2,Atp5g3,Cd3g,Atp11b,Nme2,Myo1e,Ube2b,Limd2,Sdc3
88,Pkp3,Rpsa,Nap1l1,Grcc10,Cd247,Naca,Pxk,Taldo1,Rps2,S100a6
