,0,3,1,2,5,4,6,7,8,9
7629,Hbegf,Gm49747,Morc2a,Creb3l4,Creb3l4,Siglece,Gm8075,Ccdc157,Plekhg5,Hscb
7630,Zfp626,Fkbp10,Tcf20,S100a5,Nek5,Oplah,Gm11775,Kcnh2,Spag17,Trp53inp1
7631,Ermard,Gm5134,Ablim2,Scn3a,Gm9885,Rnf32,Gm32089,Hic2,Gm16618,Tmem156
7632,Pptc7,Clnk,Mindy1,Ighv5-6,1700027A07Rik,Plagl1,4930583K01Rik,Gm11361,Hist1h4n,Cep44
7633,Syce2,Gm12349,Josd1,Pnpla1,Gucy2g,9530036M11Rik,Lurap1,Gm31323,Pkd2l2,Cxcr4
7634,Zbtb41,Rtl8a,Mbd6,Gm15629,Pou2f3,Ell3,Gm21844,Oxld1,Syce1,Mcm10
7635,Recql5,Cfap45,4833407H14Rik,Nid1,Jhy,Ccl12,Trpm6,Rasgrp4,Gm42664,Arhgap27os2
7636,Rwdd2a,Map9,D11Wsu47e,Siglecf,9130204K15Rik,Traj37,Gm40437,Atxn7l1os2,Pum3,Hist1h3e
7637,Fbxw9,Ufsp1,Vps13c,Wwc1,Ucp3,Gm50069,Gm42439,Gm10658,Gm44734,Gamt
7638,Cpne2,Copz2,Zcchc4,9230116L04Rik,4930512M02Rik,Eepd1,1700016C15Rik,Sdr42e1,Traj16,Ppfibp1
7639,Gm11205,Gm10501,Dhx34,Proca1,Gm29536,Rims3,Cntnap5b,4933427D14Rik,4732490B19Rik,Gclc
7640,Naif1,Ube2cbp,Gm30025,B230319C09Rik,Gm47392,9030025P20Rik,Lin7b,Stxbp1,1700016L21Rik,Abhd14b
7641,Pon3,Them6,Acin1,Calr3,S100a5,A230083N12Rik,Gm43449,Zfp2,Adgrd1,Rictor
7642,Atxn7l1os1,Il9r,Ppp2r5b,Gm10865,Lrrc18,Cyp2c69,Gm17023,Scimp,1700027F09Rik,Xndc1
7643,Pigg,Gm20300,Zkscan3,2410018L13Rik,1700123J17Rik,Echdc2,Gm28289,B3gnt9,Gm13427,Ldlrad3
7644,Prpf4b,Gm47167,Erlin2,D6Ertd474e,Gm49256,Dok4,Gm42699,1110046J04Rik,Gm32856,Fam210b
7645,4930599N23Rik,Gm11205,Cacfd1,Trbj1-6,Siglecf,BC037704,Card10,AC125149.2,Lsm11,Foxj3
7646,Dgkq,Gm11769,Fam221a,Comp,Adamts9,Areg,Gm43768,Nlrp1a,Gnb5,Ttc19
7647,Timm21,Gm4924,Ice1,Zfp879,Gm15629,Fam57b,Tmem132c,Aifm2,Gm48342,Dgcr8
7648,Micall1,Gm10681,Rab37,Cpne9,Capn12,Cdc42ep4,Serpinf2,Fam57b,Gm16008,Donson
7649,Emg1,Gm36371,Mterf2,Arpp21,Gm46404,C3ar1,Il17re,Trdc,Ttc30a1,9230114K14Rik
7650,Zbtb40,Trav7-3,Scai,Tulp2,Gm14862,Sgms2,Mok,Gm29675,Dgcr6,Rpusd1
7651,Crebbp,Traj23,Ccpg1,4930500M09Rik,Gm47819,2700046G09Rik,Fcrl6,C530005A16Rik,Rsf1,2810001G20Rik
7652,Cyp4v3,Glce,As3mt,Gm35507,Dmrta1,Ppp2r2c,Elavl3,Tmem158,Mef2b,Grpel2
7653,Fsd2,Gm42869,Ryk,Atp2a1,4732463B04Rik,Neurl2,Gm15910,Trav7d-3,Gm16189,Zc3h3
7654,5830428M24Rik,B430218F22Rik,Foxj2,Gm15243,Ighv6-3,Ggnbp1,Gm20652,Plppr3,Catsper3,Mdk
7655,9330136K24Rik,Cplane2,Rps6ka3,Arhgap27os2,Gm43560,Ccnj,Lrrn3,Gm20470,Slc22a2,Klk1b27
7656,Zfp119a,Sfxn4,Slc36a4,Pisd,Sntg1,Kctd11,2010110G14Rik,Srsf12,Gm12915,Gm26887
7657,Gm35035,Utp25,Micos13,Gm15879,Aldh8a1,Gm15340,Parvb,Dpy19l4,Ppl,Zgrf1
7658,Ncmap,4930539E08Rik,Sppl2b,4933427D14Rik,Cd59a,C130046K22Rik,Nrxn2,D530033B14Rik,Ankrd35,Ppp1r16a
7659,St6galnac1,C530005A16Rik,Hsdl1,Gm42067,Gm45285,Ksr2,AC141477.1,Zdhhc1,Col4a4,2900076A07Rik
7660,A330009N23Rik,Htr2b,Tmsb15b1,Dab2ip,Sema3c,Phf21b,Pkd1l2,Gm17484,Gm13856,Atad3a
7661,Shld2,9330198N18Rik,Cpne2,Zgpat,Muc13,Mfsd12,Sycp3,Vsig10,B3gnt4,Trp53rkb
7662,Meis3,2510017J16Rik,Tmem135,Praf2,5430435K18Rik,Fam229b,Pls3,Cd302,Arhgef26,2310057M21Rik
7663,Hoxb4,Gm5432,Cipc,Gm11361,Lrrc34,4930568A12Rik,Rufy4,Vsig10l,Gsto2,Zbtb37
7664,Trbv1,Dusp23,5430405H02Rik,Zfp78,Atp6v0a1,Tlr4,Gm38134,Acad12,Gm49953,Mdm1
7665,B3galt6,Kctd11,Trmt12,Plxnd1,Spata48,Tbc1d8,Tmem132b,Mapt,Albfm1,Ccnyl1
7666,Gm26628,Gm50322,Itprip,Rwdd3,Esr2,4930470G03Rik,Fndc11,AA465934,Dock1,Cdr2
7667,Ccl27a,Gm11683,Hist1h3b,Cmtr2,Myo7a,Ccdc73,Vmn2r38,Gm17455,Tnnc1,Isoc2a
7668,Srpk2,Zfp385a,Zfp984,Rsl24d1,Fbln1,Zc3hav1l,Gm26680,Pcx,Gm20650,Lrrc61
7669,Tmem63b,Trav9d-1,Nfkbid,Fam89b,Gm43661,Ltbr,Gm49476,2610206C17Rik,Ffar1,Kmt5c
7670,2810429I04Rik,Gm47772,Trib1,Rnasel,2810414N06Rik,Tlr13,Gm3235,Bace2,Hmx2,Med18
7671,Zfp280b,A930012O16Rik,Clstn1,Cpne1,Zfp777,Gm11683,Sox12,Gm48855,Gm32479,Fbxl12
7672,Msl3l2,Gm20337,Parp3,Elmod3,2900009J06Rik,Scgb3a1,Gm44287,E230016M11Rik,Gm34276,Tmtc4
7673,Scgb3a1,Hsbp1l1,Slc26a11,Sdr42e1,Gm28960,Gm5150,Gm16252,Yes1,4933424M12Rik,Focad
7674,Ppp1r37,Prph,Dmxl1,Gm10827,Gm17349,Gm12359,Med9os,Thnsl2,Gm10964,Cdk20
7675,Pccb,Gstm5,Ust,Tssk4,Pde5a,Arhgap27os2,Hus1b,Trav2,Stx19,Trbv3
7676,Ccdc146,Prpf38b,Pnisr,Gm16549,Car7,Gm28187,Gm12238,Gm9750,4933428P19Rik,Ankrd11
7677,P3h4,Dnah11,Coq4,Rad51d,6430548M08Rik,Aldh5a1,Arhgef37,Casc1,Pacsin3,Trmt10b
7678,Gm36208,Exph5,Selenoo,Gm16068,1700039M10Rik,Cd163l1,Gm14302,Gm14305,Nptxr,Snrnp40
7679,Poglut2,Gtsf1,Mocs3,Atxn7l1os2,Pomk,Zfhx2os,Oxsm,March9,Zfp108,Map4k2
7680,1700041G16Rik,Ptpro,Nt5dc2,Grin2d,Gpc2,Zcchc24,Gm20109,4833408A19Rik,Ryr2,Tgfb3
7681,Tcn2,Gm50163,Gm7072,2010013B24Rik,Fam229b,Gm4356,Gm38037,9530018F02Rik,Tfap2a,Ubxn7
7682,Zfp236,Zfp286,Hmbox1,Cubn,Gm47106,Gm10392,Zfp931,Prr36,B230206L02Rik,Foxm1
7683,Rnf2,Hlf,Zfyve26,Trdv5,Gm20219,Serpinb9b,Gm13684,Gm30948,Slc38a8,Fbxo21
7684,Tbrg4,Gm48283,Smad5,Gm15932,Trav4-2,Gucy1b1,Mex3d,Gm38250,Gm29994,Wdr75
7685,Klf7,Stpg2,Adal,Ripply3,Gm16279,Gm3550,Ccdc173,Itgad,Tdo2,Zscan21
7686,Usp34,Gm29282,Rbm41,Galnt16,Anxa11os,Gm16230,Ptges3l,Ccdc114,Arntl2,Dnase1l3
7687,mt-Nd6,Pde1b,Zfp729b,Gm47447,Steap3,3110083C13Rik,Gm16225,Trav4-2,Cox4i2,Zfp335os
7688,Pde6h,Gm39214,Fbxw4,Gm47578,Dleu7,Gm37885,Hmcn2,Zfp959,Ccdc116,Zfp715
7689,Gm32369,Zc2hc1a,Polr3d,Gm10226,Rbfaos,Trip6,Gm17227,Igsf8,4930520M14Rik,Chd6
7690,B230217C12Rik,Ninl,Lpar6,4930404A12Rik,5430400D12Rik,Ino80dos,Wdtc1,1700023H06Rik,Fam20c,Acaca
7691,Rph3al,Siglece,Tjp3,5830487J09Rik,Gcnt2,Gm44226,Lrsam1,Gm29394,Rtl10,Micall1
7692,Zfp770,1810044D09Rik,Pdgfb,4933408N05Rik,Tmem150a,Fam71e1,Lamb2,Slc16a13,Kcnd1,Gm12166
7693,Gm28884,Pctp,Rcc1l,Gm16275,1700001K23Rik,3300005D01Rik,Btc,Atf3,Gm19531,Hspa1b
7694,Agbl5,Gm14154,Itpr3,Gipc3,Ctrl,Tcea2,Tshz3,Tmem86a,Gm45495,Yju2
7695,Sipa1l3,Kbtbd7,Ppm1f,Gm16315,Gm17178,Plch1,Nenf,Gm34794,Flvcr2,Rasa2
7696,Atp7a,Grin2d,Dph2,5730522E02Rik,Gm50373,Cysltr1,5033403F01Rik,C130013H08Rik,Ighv3-6,Pex1
7697,Zfp189,Gm10634,Trmt13,Gm43024,Gm45267,Igkv6-15,Ndnf,Gm4814,Ank1,Spg20
7698,Chrm4,3110083C13Rik,Hlx,Gm43118,Tsga10,Gm42658,Rps6kb2,Cryz,Gm15558,Rab33b
7699,Klre1,Gm11491,Use1,Slc26a1,Gm41396,A730061H03Rik,Gm3604,Mrgpre,Prrt2,L3mbtl2
7700,Prdm15,1810062G17Rik,Tgfb3,Tmem150c,Gm30934,Zfp128,Zfp597,Glis3,Ighv1-55,Ccdc107
7701,Saal1,Lrp11,BC051226,Cntnap1,Gdpd1,Otud1,Gm45615,Setmar,1700001L05Rik,Cnppd1
7702,Bcl2l15,Rangrf,Asap2,Ngfr,Alms1,Uckl1os,Frmd8os,Gm11769,Upp2,Fancm
7703,Bphl,Chit1,Slc8b1,1700016F12Rik,Arxes2,Sh2d4b,Fbxo27,Atp23,Mafa,Gzmc
7704,Gm4285,Sirpb1c,Ift80,Mab21l3,Gm48249,Slc6a20b,Rpp40,Eif3j2,Khdrbs3,Mtmr4
7705,Pfn2,Lpl,Cep85l,Vmn2r95,6330415G19Rik,Smim40,Gm48837,Gm28403,Cd300e,Ormdl3
7706,Zfp772,Gm13778,Klhl26,Fpr3,Ip6k2,Ckap4,Rfx4,1700010K24Rik,Tex52,Tbl1x
7707,Gm28707,C8g,Bloc1s5,Gm11542,Spata21,Gm31107,1700025N21Rik,Fcer2a,Perm1,Nfatc2ip
7708,Ikbke,Ddb2,Slc35g1,Kdr,Cd93,Tmem53,Gm15445,Lrrk2,C1ra,Alkbh8
7709,Phykpl,Gm44067,Gm29585,Gm42700,Lamc2,Rtkn,D930007P13Rik,Angpt2,Gm14508,Zfp451
7710,Mypop,Gm32369,Tra2a,4930556N13Rik,St5,Ppp1r18os,Dab2,Cdkn1c,Borcs5,Etfbkmt
7711,Tbc1d1,Dsp,Ankrd50,Syna,Gm14698,Tifab,Klrb1a,Wfikkn2,Bivm,Acy1
7712,Cwf19l1,Serpinc1,Ifi203,Gm7324,Srms,Gm12703,Gm14418,Ptgir,Gm49967,Ctdp1
7713,Lrrc25,Zbtb26,Gas8,Gm16014,Gm20508,Cyb561,Gm41414,Prss36,Fam126b,Atrip
7714,Gm11613,Tbc1d24,Gm49359,Gm16055,Olfr99,Gm15523,1500035N22Rik,Stard9,Det1,Unkl
7715,Zbed4,Gm41664,Mtrf1,Ckmt2,Tacstd2,Calhm6,Plekhg6,Trav7n-4,C2cd2,Pik3c3
7716,Rnf227,5730405O15Rik,Nmnat2,Btbd18,Iars,Prdm11,6330409D20Rik,Tmem141,Zfp236,Nfrkb
7717,Gm26877,Tmem81,Tbcel,S100z,Cacna1a,C1qtnf9,4930401C15Rik,Gm568,Tmem217,Klhl3
7718,Ppm1b,Maff,Irak1bp1,Ankdd1b,1700025N21Rik,Gm15675,Calca,Pcdhgc3,Gm34342,Ttc37
7719,Lmna,Otub2,Zfp777,Trpv6,4930401C15Rik,Kank3,Gm20442,Lipt2,Gm29443,Arhgef11
7720,Dhrs3,Gm49774,Dop1a,Serpinb8,Gm14418,Gm15503,Wdr86,Cpne8,Padi3,Clk4
7721,Oit3,Ppp1r13l,Aff1,Ttc26,Rfx4,Gm20075,Gm34093,Map3k15,Ccdc57,Zfyve1
7722,Mapkbp1,Map2k3os,Abcb1a,Plxna4os1,Gipc2,Gm32679,4930565N06Rik,Gm31645,Dnal1,Arl4a
7723,Hs2st1,Psmg1,Eif2ak4,Gm15392,Dab2,Gm26724,A930038B10Rik,Stard6,C3ar1,Pex11g
7724,Msh2,Gm44710,3110082I17Rik,Wnt11,Ttc25,Pilrb1,Esrp2,Btk,Gm10552,Cd99l2
7725,Oplah,1700023H06Rik,Repin1,Crispld2,1700040L08Rik,Cul7,Gm42477,4930557K07Rik,Cdk7,Acyp1
7726,Gpr180,Castor2,Pcnx,P2ry13,Syne4,Gm30091,Gipc2,AC163685.1,Acvr1,Pms2
7727,Ccr1,Vmn2r97,Mterf1a,Mras,Traj58,Mfsd4a,Tmbim7,Gm16152,Stpg1,Rif1
7728,Evi2,Clpp,Siae,Gm28800,Hectd2os,Gm28085,Ttc36,Ropn1l,Gm20633,Smpd2
7729,Fbxl13,Mybpc1,Scaper,Ak9,4930565N06Rik,1700016P03Rik,Traj58,Grhl1,Gm16152,Hs3st3b1
7730,Prps1,Gm16230,Rhbdd2,Plcd3,Slc28a1,Tfcp2,Gm33460,1700021A07Rik,Mttp,D17H6S53E
7731,Armc6,Amd2,Atf7,Gm16122,Gm11706,Gm13256,Gm16151,Tpcn1,Otub2,Bloc1s5
7732,Platr25,Atf4,Abi1,Gm50242,Gm16287,Gm30108,Krt80,AI847159,4930557K07Rik,Pank4
7733,Jrkl,Gng5,Zc3h8,Olfr543,Ttll13,Frg2f1,Gm45187,Cnih2,Tbc1d24,Zbtb6
7734,4833403J16Rik,Mettl23,Tbc1d5,Trim34b,Esrp2,9130221H12Rik,BC034090,Gm44649,L2hgdh,Mxd3
7735,Vsig10,Miga2,Ints6l,Pcdh7,Mpzl2,Pmel,Cacna1f,A530017D24Rik,Zfp661,Lnx2
7736,Gpd1l,Il13ra1,N4bp2l1,Gm42560,Kcnk12,Gm16253,Krt18,Gm17090,Magi2,Cenpq
7737,Rtl5,Eps8l1,Cyb5d2,Car1,Gm41414,Gm12279,BC048559,Mical2,Fam161b,Lrrc14
7738,Zfp780b,Dusp9,Eif5,Gm46565,Cacna1f,Gorasp1,Gm44238,Gm34908,Zfp526,G0s2
7739,Eprs,Engase,Jade2,Stfa2l1,BC048559,Hspa12a,Acvr1c,4930473A02Rik,Smim19,Dele1
7740,Usp40,1810073O08Rik,AI597479,Gm49173,Kpna7,Nckap5,Tln2,Tiam1,Gm34106,Spp1
7741,Gm29776,Nat8f4,Bag2,Gm11867,6330409D20Rik,Gm46440,Hectd2os,Sema4b,9130230L23Rik,Zfp994
7742,Pop5,Gm41555,Shfl,Gpd1,Gm34093,Gm43388,Lhfpl5,Dennd2c,Klhl14,Rdh11
7743,Mon2,Gm17606,Card11,Glra1,Gm12542,Zfp442,Gm30122,Adgrb2,Wnt16,Cenpv
7744,Srrm1,Zfp189,Plcg2,Gm12841,Tert,Trav4-3,Gm37864,Phtf1os,Arhgef10l,Nxpe3
7745,Zfp703,Gm47705,Mypopos,Ptch2,Gm20442,Gm46218,Xlr3a,2310002F09Rik,Ptgs1,Recql5
7746,Akap13,Ell3,Rogdi,Gm35572,Igkv10-94,Clec5a,Timm8a2,Gab2,Brsk2,Rsl24d1
7747,Arih1,Scamp1,Cpd,Zswim5,Hexim1,Il13ra1,Naalad2,Gm20750,A430106G13Rik,Zbtb25
7748,2610021A01Rik,4933427D06Rik,Tmcc1,Gm12953,Gm47730,Cxcl2,Tsnaxip1,Spaca1,Gdf9,Mob3b
7749,Zfp867,Trem3,Mturn,Naaladl1,Gstm7,Taf7,Catsperg1,Cacnb4,B930094E09Rik,E130308A19Rik
7750,Gtf3c4,Gm40645,Pramef8,Gm10337,Shisa8,Gm11725,Gm49961,Rasd2,Tnni2,Klhl20
7751,9230116N13Rik,Hacd4,Hexim1,Gucy2e,Ppp1r3g,4930590J08Rik,Htr1f,Kantr,Gm28913,Zfp180
7752,Tnp2,Cct6b,Cd68,Aloxe3,Lrrc2,Rtl5,Ttll13,Arhgef33,Pbx1,Agk
7753,Tab3,Gm12596,Rlim,Hes7,Gm15729,1700019J19Rik,Mpzl2,Lgals4,Gm43479,Rcbtb1
7754,Hook1,Bbs10,Ccdc102a,Oosp1,Gm16315,Gm26787,Slc4a10,Gm48027,Gm35986,Junos
7755,Klra3,A730063M14Rik,Mmgt1,Gm16192,Ltf,Car7,A730090N16Rik,9330179D12Rik,Pld1,2810002D19Rik
7756,Yrdc,Det1,Hdac6,Crlf1,Kcnq3,Chn1,Gm47405,Snhg14,Gm6566,Eno3
7757,Mfsd2a,AW046200,Rbm5,Cilp2,Gm44097,Gm48960,Marc1,Arrdc4,Spry2,Gm14029
7758,Gm47242,4930513N10Rik,Trbc2,Slc47a2,Dmpk,2600006K01Rik,Pcdhgc5,Gm10451,Sp9,Rtn4rl1
7759,Gm50228,Cdnf,Sfxn3,Fcna,Tmem26,Gm2237,A330084C13Rik,Tet1,Gm13261,Rp9
7760,G6pc3,Igkv6-15,Ptprs,Gm12979,Plxna4os1,Gm9961,Tnfsf13,Cr2,Ltc4s,Nubpl
7761,Gnasas1,Naglu,Cpeb4,Tbx2,Slc26a1,Gm10778,Aebp1,1700020L24Rik,Hhla1,Psrc1
7762,Dicer1,Gm14305,1110032A03Rik,Gm49460,Mapk12,Trav10d,Gm11706,Gm36839,Frmpd4,Gtf2ird2
7763,Taf1a,Ndrg4,Ano8,Fgfr3,Gm11542,Gm12905,9530080O11Rik,Ccl27a,Acbd7,Trmt44
7764,Zfp653,Gm9752,Eef2kmt,Gm39228,Tex33,Dsel,Gm11209,Mfsd4b4,4930578M07Rik,Zfp386
7765,Gm44686,Tcrg-C4,Gm27162,Gm16034,1810020O05Rik,Sox4,Ttc25,Tnfrsf8,Traj4,4833438C02Rik
7766,Gm5535,Gnal,Ptgr1,E130116L18Rik,Kdr,Ribc1,Tmem198,Dtwd1,Gm47644,Dvl1
7767,1810073O08Rik,Gm11725,Clcn7,Gm46516,Mab21l3,Vars2,Dhrs13os,Gm13807,Hpgd,Egr2
7768,4930484I04Rik,Cntd1,2610021A01Rik,Gm8773,Stfa2l1,Zfp109,Gm960,Zfyve28,B3galt1,Zmym3
7769,Cluh,Gm9895,Asb1,Gm20712,Gm11365,Gm9733,Orm3,Rasgef1a,Mir133a-1hg,Tdrd3
7770,Abcb1b,Kdelr3,Isoc2a,Gm41496,Tmem150c,Gm16262,Gm11674,Pdzd2,Hs6st3,Sec61a2
7771,Kcnk6,Spag6l,Zfp160,Vwa1,B230334C09Rik,Gm26953,Npb,Plxdc2,Gm19967,Aasdhppt
7772,Vezf1,Procr,Lysmd4,Gm15350,1700016F12Rik,Slc17a7,Gm16287,Irgc1,Gm6277,Eif4a3
7773,Scaf8,Mafb,Adi1,B230334C09Rik,Rtn2,Klra7,Kpna7,Gm12248,Gm48689,Zadh2
7774,Exog,Tgif2,Abl2,Proz,Mei1,Clec4n,Gm11527,2510009E07Rik,Gm50194,Sdhaf1
7775,3300005D01Rik,Gm4258,Snhg16,Tex33,Ptger3,Utp25,Gm29358,Ak4,Trpm2,Tnfaip8l1
7776,Crebl2,Gm614,Ulk2,Gm30382,Cited1,Lrrc51,1700040L08Rik,Intu,Adam4,Ppcdc
7777,Kat14,Nrg4,Setx,Ido1,Adam3,Cep131,Srgap1,Lrrc4,Igkv9-120,Smagp
7778,Fam83g,Map2,Msh5,Adam3,Col8a2,Ecm2,U90926,Taf4,Slamf9,Nol6
7779,Arrdc3,Slc17a7,Crat,Shisa8,Gm34069,Ccdc63,Gm48671,Gm42809,Lcat,Tra2a
7780,Pno1,March8,Stk38l,Gm37800,Btbd18,Gm20513,Trbj2-1,Acod1,Zfp521,Osbpl2
7781,Psrc1,Gm12655,Zfp319,Gm27151,Wnt11,Ndrg4,Gm44040,Hist1h2bl,Mmp25,Cep57l1
7782,A230056P14Rik,Sh3pxd2a,Gm15821,Ptger3,Cilp2,Ro60,Spink10,Clec3b,Rab42,Mterf2
7783,Zfp788,Ltbr,Pde3b,Glrp1,Glrp1,Fam78b,Gm13270,Trav13d-1,Dip2b,Gm50237
7784,Adcy3,Gm29776,2810429I04Rik,Slc5a10,Mamstr,Ccdc40,Ascl4,4930549P19Rik,N6amt1,Radx
7785,Trav6-5,Nid2,Ptrh1,Lrtm2,A030001D20Rik,Gm17491,Bace1,Chrna9,Ovgp1,Gm16286
7786,Dok4,Gm16536,Slc45a4,Mip,P2ry13,Zfp759,Txlnb,Pak6,Zfp672,Serpinb8
7787,1700001G11Rik,Zfp973,Pfkfb1,Gm47771,Loxl3,Gm14798,C1qtnf9,Gcnt1,Gm44649,Acp6
7788,Zfp580,Gm38604,Zfp850,Loxl3,Gm49887,Icam5,4933427D06Rik,Ift81,AV099323,Atp5h
7789,Rnf157,4930579K19Rik,Shq1,Clec4b1,Tmigd3,6430571L13Rik,Gm12703,Gm47350,Kdelr3,Cfh
7790,Dnajc12,Ptgs2,Zer1,Gm47958,Gm39321,B230369F24Rik,Gm13483,Nipal1,Smyd1,Mmp19
7791,Gstp2,Gm15927,Uvrag,Acvr2b,Ttc26,Dach2,Neil1,Gla,Aldh4a1,Gng11
7792,Lrsam1,Megf11,Sft2d3,Lrrc2,Plcd3,Iglv2,B430219N15Rik,Gm13710,Serpinb9b,Rpf1
7793,Dnajb14,Gm49719,Usp11,Vmn2r29,Gm8773,Bfsp2,Gm15523,Fgd2,Zfp710,Timd4
7794,Zfp7,Plcb1,2810402E24Rik,Gm49887,Cd33,Gm15420,Trbj1-3,Gm42659,Gm43126,Wdr83os
7795,Gm3604,Echdc2,Slc39a8,Cd33,Gm37800,Gm48342,Vwa3b,Wdpcp,Masp2,Mfsd12
7796,Arfgef2,Gm48708,Gpt,Mamstr,Gm15392,Hist2h2aa1,Ovgp1,Gm16156,Gm42560,Adgrg5
7797,Spred1,4930473A02Rik,Zbtb42,Igkv5-45,Slc17a6,Jrk,Akap1,Gm11655,Tssk4,Dmxl2
7798,Jmjd8,Lrrc75b,Usp30,Gm6710,Crispld2,Gm10762,Gm47767,Apoe,Trap1,Parp6
7799,Senp8,Usp22,Zswim4,Igkv12-44,Gm8281,Gm10521,Plcxd1,Zfp300,Lsm5,Paqr7
7800,6330562C20Rik,Hist2h2aa1,Mmut,Dnajb8,4731419I09Rik,Cfap43,4933421O10Rik,1110032F04Rik,Foxj2,Ercc8
7801,Gm15326,Ttc30a1,Ash1l,Fbp1,Car1,Clec4d,Pdzrn3,Scrn3,Mrps34,Atat1
7802,Acer3,Gstp2,Srpk1,Gm44097,Creg2,1700027F09Rik,Ptges,Arhgef12,Osbpl1a,Tcea3
7803,Gm12796,Palld,Gm50340,Ltf,Igkv4-57,Gtpbp10,Slc7a4,Tmc4,9530034E10Rik,Gm4876
7804,Gm28501,Trav9n-4,Lysmd1,Gm12589,Gm15350,4921511C10Rik,Frem3,Tspoap1,Tm4sf5,Invs
7805,Lig3,Lekr1,Cbr1,Ccer2,Ankdd1b,Dimt1,Prr29,Zfp583,Il9r,Supt7l
7806,Serpinb5,Slc26a6,Dnal4,Fbxo41,Naaladl1,1700034P13Rik,Gnat1,Afdn,Stx3,Armc10
7807,Tnfrsf8,Trbv17,Shld2,Gm10309,Igkv5-45,Ndufs7,Daam2,5031434O11Rik,Gucy1b1,Ccr9
7808,4930428O21Rik,Gm9949,Adck2,Gm5878,Gm16685,Spns3,4930500F10Rik,Ttc16,Gm45620,Cep76
7809,Setd4,Senp8,Slc30a4,Dmpk,Npas4,Lrp1,Plppr2,Gm20075,Gm47270,Zbtb14
7810,Zbtb14,Gm36279,Mipol1,Gm39321,Syna,Actr3b,Sema4g,9430060I03Rik,Map10,Fam76b
7811,Trmt11,Gstm1,Tob2,1700112J16Rik,Sspo,Zcchc3,Gm43031,Gm17690,Zfhx2os,Slc25a35
7812,Prickle4,Zkscan7,Zfp729a,Gm38825,Gm31854,Cpq,Gm48133,Zfp273,Nrg1,Dpep2
7813,Zfp110,Nfkbiz,Mcfd2,St18,Gm39228,Gm4924,Lpin3,Jup,AW046200,Vsig10
7814,BC017158,Gm31107,Trp53rka,Gm4107,Gm12953,Spata48,Vwce,Gpat3,4930513N10Rik,Ppfia4
7815,Hsd17b14,Atp6v1g3,Tspan13,Syt3,Igkv17-127,Akap1,C130040N14Rik,Wfdc17,4930414N06Rik,Treml4
7816,Ttll3,Cage1,Nepro,Gm15912,Gm12316,Fbxo36,Rimkla,Gm10369,AC241534.1,Stxbp1
7817,Zbtb21,Plekhg5,Tnfrsf14,4930540M05Rik,Oosp1,Cct6b,Cdh18,Nphp4,Gucy1a1,Gps2
7818,Ryr3,A930041C12Rik,B3galnt2,Gm16685,4933408N05Rik,Serpinc1,Sectm1a,Gm26787,Ptov1,Cd81
7819,Abhd15,Parp6,Gm9725,Gm11365,Crlf1,4930549P19Rik,Clcn1,Gm4890,Coq5,Tubgcp6
7820,Gm10320,Nlrp3,Rnf157,Gm44053,Adig,3110045C21Rik,Gm26737,Gm37469,Gm6787,Gar1
7821,Otos,Hmga1b,Ptpn23,Cited1,Gm12979,Rab20,Kis2,Colq,Traj28,Ccnb1ip1
7822,AW549877,Kank3,Ift74,Gm4787,S100z,Wwc1,Gm16043,Gm7580,Gm10433,Pole2
7823,Castor2,Mapk1ip1,Lamtor2,Ighv1-77,Slc47a2,Serpinb1b,Pcdhgb5,Plxnd1,Lix1l,B230217O12Rik
7824,Plekha8,Kif9,Traf5,Gm36172,Gm28800,Gm34342,4933433H22Rik,Susd2,Traj49,Ppp1r37
7825,9130019O22Rik,Slc6a8,Stau2,Gm44200,Ido1,Olfr60,Spx,Rps6ka2,4930517O19Rik,Taf5
7826,Icosl,Cabp4,Birc6,Igkv17-127,Gm12589,Cacna1b,Fam81a,Col23a1,Slc4a11,Ccdc181
7827,Nkain2,Eid2,Prxl2c,Gm47730,Gm16192,Zfp772,Gm50021,Rab4a,Zfp982,Klf12
7828,Acvr2a,Tspyl2,Krtcap3,Fam217b,Gm7644,Zfp248,Rarb,Epb41l1,Notch3,Zdhhc1
7829,Tesk2,1700056N10Rik,Usp36,Fmn1,Gm38825,Il1rn,Gm34590,Zfp607b,Mfsd7a,A530032D15Rik
7830,Yes1,Ano7,Ms4a4c,Dnah7a,Fbxo41,Tmem86a,Gm17041,Pros1,Gm29570,Asah2
7831,1700066B19Rik,9330111N05Rik,Hist1h4f,Gm11201,Smim18,Zfp420,Frmd7,1700086O06Rik,Gm26873,Ccdc114
7832,Mcam,Gm48768,Epg5,Gm45051,Gm47920,Hdac11,Gm40841,Galnt6os,Gna14,Lyrm4
7833,Apbb3,Clip3,Iqcc,Gm42596,Slc5a10,C8g,Traj29,Trim17,Gm12868,Pex3
7834,Zfp113,Tmem240,Med12l,Acat3,E130116L18Rik,Atf3,Adamts7,2310016D23Rik,Fbxo2,Gga3
7835,Gm12764,Thnsl2,Nr2f6,Gm15477,4930540M05Rik,Rsph10b,Slc18a1,Zfp459,Slc2a12,Manea
7836,Prrg2,Utf1,Plcb3,Sema6c,Gm34921,1110019D14Rik,Tmod4,B230322F03Rik,Ankrd33b,Cdpf1
7837,Ipo11,Mroh8,Galnt3,Tmem8b,Gm10271,9330111N05Rik,1700082M22Rik,Fbxl22,Gm12100,Selenoo
